fpar,par,tmin,vpd,smrz,ft,tsoil,smsf
0.067,2.828,263.178,98.647,0.819,1.000,270.674,0.570
0.067,3.386,262.646,87.559,0.818,1.000,270.750,0.573
0.067,3.193,264.044,87.475,0.818,1.000,270.934,0.574
0.067,3.146,263.153,87.751,0.819,1.000,270.360,0.576
0.067,3.131,263.966,82.589,0.821,1.000,269.767,0.579
0.067,3.482,263.648,91.408,0.821,1.000,270.104,0.579
0.067,3.262,264.468,93.573,0.822,1.000,270.354,0.577
0.067,3.272,264.673,98.598,0.822,1.000,270.708,0.576
0.079,3.382,264.767,98.865,0.822,1.000,270.942,0.576
0.079,3.280,265.230,103.982,0.822,1.000,271.428,0.576
0.079,3.385,266.514,91.882,0.823,1.000,271.886,0.577
0.079,3.468,264.371,106.275,0.823,1.000,271.491,0.575
0.079,3.748,262.699,105.222,0.822,1.000,269.742,0.573
0.079,3.808,264.543,114.877,0.822,1.000,270.460,0.573
0.079,3.601,263.771,118.358,0.822,1.000,270.503,0.571
0.079,3.231,264.176,97.497,0.821,1.000,271.010,0.572
0.070,4.111,263.690,103.809,0.822,1.000,270.860,0.573
0.070,3.941,264.004,105.464,0.822,1.000,270.994,0.574
0.070,3.755,264.160,107.722,0.822,1.000,270.616,0.576
0.070,3.418,264.706,99.764,0.824,1.000,270.852,0.580
0.070,3.610,264.215,86.106,0.825,1.000,270.420,0.579
0.070,3.709,264.294,92.373,0.824,1.000,270.408,0.580
0.070,3.814,263.167,92.971,0.826,1.000,269.936,0.584
0.070,3.957,263.240,98.220,0.827,1.000,269.816,0.581
0.065,3.826,265.929,105.605,0.826,1.000,270.676,0.582
0.065,4.301,265.164,117.170,0.826,1.000,271.122,0.582
0.065,4.123,263.885,120.538,0.827,1.000,271.153,0.583
0.065,3.730,265.554,84.786,0.829,1.000,271.198,0.588
0.065,3.711,265.651,99.453,0.832,1.000,271.583,0.591
0.065,3.967,264.733,107.647,0.832,1.000,270.766,0.587
0.065,3.643,265.707,99.455,0.832,1.000,270.832,0.589
0.065,3.874,264.233,98.871,0.832,1.000,270.945,0.589
0.050,4.433,263.491,114.735,0.831,1.000,271.240,0.587
0.050,4.708,263.561,100.971,0.832,1.000,271.099,0.590
0.050,4.356,264.232,105.127,0.833,1.000,271.221,0.590
0.050,4.074,264.680,101.145,0.834,1.000,271.485,0.590
0.050,4.664,265.425,91.217,0.836,1.000,271.628,0.599
0.050,4.734,265.599,100.029,0.839,1.000,271.065,0.603
0.050,4.646,264.221,105.763,0.840,1.000,271.035,0.600
0.050,4.552,263.938,97.858,0.840,1.000,270.874,0.599
0.123,5.359,263.206,112.484,0.841,1.000,270.854,0.599
0.123,4.926,264.107,121.586,0.841,1.000,270.727,0.601
